performance_id,employee_id,review_period,manager_rating,performance_score,productivity_score,training_hours,promotion_eligible,bonus_percentage
PERF0000079,EMP00040,2025-H1,4,4.78,78,41,Yes,0
PERF0000080,EMP00040,2025-H2,3,2.72,71,11,Yes,8
PERF0000081,EMP00041,2025-H1,2,2.97,71,47,Yes,5
PERF0000082,EMP00041,2025-H2,5,2.97,61,49,No,12
PERF0000083,EMP00042,2025-H1,4,2.66,82,45,Yes,15
PERF0000084,EMP00042,2025-H2,4,4.46,86,6,Yes,12
PERF0000085,EMP00043,2025-H1,2,3.13,63,59,No,5
PERF0000086,EMP00043,2025-H2,5,3.72,81,26,Yes,5
PERF0000087,EMP00044,2025-H1,3,4.74,98,34,No,8
PERF0000088,EMP00044,2025-H2,4,3.91,71,53,Yes,8
PERF0000089,EMP00045,2025-H1,5,3.72,92,18,No,0
PERF0000090,EMP00045,2025-H2,4,3.7,63,3,Yes,10
PERF0000091,EMP00046,2025-H1,5,4.0,67,14,No,0
PERF0000092,EMP00046,2025-H2,3,3.61,67,17,No,8
PERF0000093,EMP00047,2025-H1,2,4.19,71,34,Yes,15
PERF0000094,EMP00047,2025-H2,3,4.12,92,58,No,5
PERF0000095,EMP00048,2025-H1,2,3.01,92,7,Yes,15
PERF0000096,EMP00048,2025-H2,3,4.29,74,31,No,0
PERF0000097,EMP00049,2025-H1,2,3.58,64,48,No,10
PERF0000098,EMP00049,2025-H2,5,4.27,69,57,No,5
PERF0000099,EMP00050,2025-H1,3,4.48,78,49,Yes,5
PERF0000100,EMP00050,2025-H2,4,4.96,66,37,No,15
PERF0000101,EMP00051,2025-H1,5,4.34,73,11,Yes,10
PERF0000102,EMP00051,2025-H2,4,2.56,89,3,No,8
PERF0000103,EMP00052,2025-H1,5,4.5,67,36,No,8
PERF0000104,EMP00052,2025-H2,3,2.58,85,38,Yes,8
PERF0000105,EMP00053,2025-H1,4,4.68,96,0,Yes,5
PERF0000106,EMP00053,2025-H2,5,4.26,64,24,Yes,15
PERF0000107,EMP00054,2025-H1,3,2.78,87,27,Yes,8
PERF0000108,EMP00054,2025-H2,3,2.54,74,33,No,8
PERF0000109,EMP00055,2025-H1,5,3.44,60,53,No,10
PERF0000110,EMP00055,2025-H2,5,3.33,98,42,No,10
PERF0000111,EMP00056,2025-H1,3,4.99,86,1,No,0
PERF0000112,EMP00056,2025-H2,2,3.93,86,59,Yes,10
PERF0000113,EMP00057,2025-H1,4,3.4,69,7,No,0
PERF0000114,EMP00057,2025-H2,2,3.38,95,49,No,10
PERF0000115,EMP00058,2025-H1,2,3.4,77,18,No,8
PERF0000116,EMP00058,2025-H2,5,2.57,98,53,No,5
PERF0000117,EMP00059,2025-H1,2,4.29,70,18,No,8
PERF0000118,EMP00059,2025-H2,4,4.21,90,1,Yes,0
PERF0000119,EMP00060,2025-H1,4,3.79,83,33,No,10
PERF0000120,EMP00060,2025-H2,4,4.06,91,49,Yes,8
PERF0000121,EMP00061,2025-H1,4,3.69,60,23,No,5
PERF0000122,EMP00061,2025-H2,3,2.85,84,18,Yes,8
PERF0000123,EMP00062,2025-H1,5,3.52,89,15,Yes,12
PERF0000124,EMP00062,2025-H2,3,3.83,79,50,No,12
PERF0000125,EMP00063,2025-H1,2,4.14,60,47,Yes,15
PERF0000126,EMP00063,2025-H2,5,4.27,77,57,No,8
PERF0000127,EMP00064,2025-H1,5,4.34,74,49,Yes,12
PERF0000128,EMP00064,2025-H2,2,3.24,84,53,Yes,8
PERF0000129,EMP00065,2025-H1,3,4.23,63,46,Yes,12
PERF0000130,EMP00065,2025-H2,2,2.79,94,30,Yes,12
PERF0000131,EMP00066,2025-H1,5,3.38,91,16,Yes,0
PERF0000132,EMP00066,2025-H2,3,2.63,83,54,Yes,8
PERF0000133,EMP00067,2025-H1,5,4.43,80,57,No,5
PERF0000134,EMP00067,2025-H2,5,2.72,96,36,Yes,5
PERF0000135,EMP00068,2025-H1,2,4.02,93,2,No,10
PERF0000136,EMP00068,2025-H2,5,4.8,100,27,Yes,15
PERF0000137,EMP00069,2025-H1,3,3.99,85,43,Yes,12
PERF0000138,EMP00069,2025-H2,4,2.76,82,23,No,12
PERF0000139,EMP00070,2025-H1,2,2.86,61,40,Yes,0
PERF0000140,EMP00070,2025-H2,5,4.79,80,36,Yes,8
PERF0000141,EMP00071,2025-H1,3,4.87,73,52,Yes,5
PERF0000142,EMP00071,2025-H2,5,3.81,97,44,No,0
PERF0000143,EMP00072,2025-H1,4,4.02,74,56,Yes,10
PERF0000144,EMP00072,2025-H2,4,2.55,77,56,No,15
PERF0000145,EMP00073,2025-H1,3,3.36,87,55,No,8
PERF0000146,EMP00073,2025-H2,2,4.25,73,22,No,15
PERF0000147,EMP00074,2025-H1,5,4.4,88,50,Yes,0
PERF0000148,EMP00074,2025-H2,2,4.89,72,59,No,8
PERF0000149,EMP00075,2025-H1,5,2.93,90,5,Yes,15
PERF0000150,EMP00075,2025-H2,3,3.02,77,53,Yes,8
PERF0000151,EMP00076,2025-H1,2,3.15,100,42,Yes,0
PERF0000152,EMP00076,2025-H2,5,4.45,64,47,Yes,12
PERF0000153,EMP00077,2025-H1,5,3.14,75,49,No,15
PERF0000154,EMP00077,2025-H2,2,3.6,97,14,No,12
PERF0000155,EMP00078,2025-H1,5,3.56,99,15,No,0
PERF0000156,EMP00078,2025-H2,4,4.07,75,20,No,0
PERF0000157,EMP00079,2025-H1,2,3.76,77,44,No,15
PERF0000158,EMP00079,2025-H2,4,4.59,78,43,No,15
PERF0000159,EMP00080,2025-H1,5,4.49,99,36,No,0
PERF0000160,EMP00080,2025-H2,4,3.72,80,23,Yes,0
PERF0000161,EMP00081,2025-H1,3,4.03,80,12,No,15
PERF0000162,EMP00081,2025-H2,2,3.4,83,17,Yes,12
PERF0000163,EMP00082,2025-H1,4,2.8,90,50,Yes,0
PERF0000164,EMP00082,2025-H2,4,4.83,94,2,Yes,12
PERF0000165,EMP00083,2025-H1,5,3.32,70,5,No,12
PERF0000166,EMP00083,2025-H2,3,2.81,91,9,No,10
PERF0000167,EMP00084,2025-H1,5,2.99,62,22,No,15
PERF0000168,EMP00084,2025-H2,5,4.64,95,57,Yes,10
PERF0000169,EMP00085,2025-H1,5,4.32,95,41,Yes,0
PERF0000170,EMP00085,2025-H2,4,4.52,73,46,No,15
PERF0000171,EMP00086,2025-H1,4,4.17,82,17,No,15
PERF0000172,EMP00086,2025-H2,3,3.89,66,48,No,8
PERF0000173,EMP00087,2025-H1,5,4.86,63,38,Yes,8
PERF0000174,EMP00087,2025-H2,3,4.42,100,13,No,12
PERF0000175,EMP00088,2025-H1,5,2.97,73,22,Yes,8
PERF0000176,EMP00088,2025-H2,3,4.34,99,32,Yes,15
PERF0000177,EMP00089,2025-H1,4,4.11,75,57,Yes,12
PERF0000178,EMP00089,2025-H2,3,2.77,92,12,Yes,0
PERF0000179,EMP00090,2025-H1,5,4.94,84,24,Yes,15
PERF0000180,EMP00090,2025-H2,3,3.29,79,13,Yes,15
PERF0000181,EMP00091,2025-H1,3,4.62,65,54,No,15
PERF0000182,EMP00091,2025-H2,5,4.21,72,12,Yes,10
PERF0000183,EMP00092,2025-H1,2,3.8,99,49,No,10
PERF0000184,EMP00092,2025-H2,5,4.87,71,40,No,10
PERF0000185,EMP00093,2025-H1,4,4.35,84,41,Yes,15
PERF0000186,EMP00093,2025-H2,4,3.34,80,58,No,0
PERF0000187,EMP00094,2025-H1,5,4.24,67,24,Yes,15
PERF0000188,EMP00094,2025-H2,2,4.12,77,19,Yes,8
PERF0000189,EMP00095,2025-H1,3,2.61,82,44,No,15
PERF0000190,EMP00095,2025-H2,3,4.6,71,31,Yes,10
PERF0000191,EMP00096,2025-H1,3,3.85,65,32,No,0
PERF0000192,EMP00096,2025-H2,3,2.98,100,42,No,15
PERF0000193,EMP00097,2025-H1,4,3.44,75,5,Yes,15
PERF0000194,EMP00097,2025-H2,4,2.94,85,32,Yes,15
PERF0000195,EMP00098,2025-H1,3,4.74,96,34,Yes,15
PERF0000196,EMP00098,2025-H2,5,3.36,73,6,Yes,5
PERF0000197,EMP00099,2025-H1,2,2.74,61,47,No,8
PERF0000198,EMP00099,2025-H2,2,3.93,81,51,No,12
PERF0000199,EMP00100,2025-H1,3,4.49,84,37,No,8
PERF0000200,EMP00100,2025-H2,4,4.91,87,37,No,5
PERF0000201,EMP00101,2025-H1,3,3.13,62,12,No,12
PERF0000202,EMP00101,2025-H2,3,2.96,64,28,No,15
PERF0000203,EMP00102,2025-H1,5,4.98,90,44,Yes,5
PERF0000204,EMP00102,2025-H2,4,4.91,88,14,Yes,0
PERF0000205,EMP00103,2025-H1,2,4.08,83,4,Yes,15
PERF0000206,EMP00103,2025-H2,4,3.74,99,30,No,0
PERF0000207,EMP00104,2025-H1,2,2.94,65,6,Yes,0
PERF0000208,EMP00104,2025-H2,2,2.55,85,1,Yes,5
PERF0000209,EMP00105,2025-H1,3,3.72,71,59,No,8
PERF0000210,EMP00105,2025-H2,3,3.77,63,29,No,12
PERF0000211,EMP00106,2025-H1,4,3.38,66,20,No,15
PERF0000212,EMP00106,2025-H2,4,2.68,94,22,No,8
PERF0000213,EMP00107,2025-H1,2,4.71,78,37,No,0
PERF0000214,EMP00107,2025-H2,4,4.88,79,47,No,12
PERF0000215,EMP00108,2025-H1,3,4.47,66,37,No,5
PERF0000216,EMP00108,2025-H2,3,3.87,70,3,Yes,15
PERF0000217,EMP00109,2025-H1,4,3.61,94,56,Yes,10
PERF0000218,EMP00109,2025-H2,2,3.44,83,12,No,12
PERF0000219,EMP00110,2025-H1,2,3.02,67,36,No,12
PERF0000220,EMP00110,2025-H2,3,2.64,93,46,Yes,5
PERF0000221,EMP00111,2025-H1,4,3.51,90,8,Yes,8
PERF0000222,EMP00111,2025-H2,4,4.52,95,19,Yes,5
PERF0000223,EMP00112,2025-H1,3,4.82,63,11,Yes,8
PERF0000224,EMP00112,2025-H2,5,4.9,83,23,No,12
PERF0000225,EMP00113,2025-H1,2,4.45,71,40,Yes,8
PERF0000226,EMP00113,2025-H2,3,3.32,93,45,No,10
PERF0000227,EMP00114,2025-H1,3,2.74,95,22,Yes,5
PERF0000228,EMP00114,2025-H2,5,4.43,90,9,No,12
PERF0000229,EMP00115,2025-H1,2,3.19,92,57,Yes,15
PERF0000230,EMP00115,2025-H2,2,5.0,74,20,Yes,8
PERF0000231,EMP00116,2025-H1,2,4.23,60,37,No,12
PERF0000232,EMP00116,2025-H2,3,4.58,100,10,No,10
PERF0000233,EMP00117,2025-H1,3,3.17,65,13,No,8
PERF0000234,EMP00117,2025-H2,3,4.98,92,17,No,15
PERF0000235,EMP00118,2025-H1,5,2.87,64,36,No,0
PERF0000236,EMP00118,2025-H2,3,3.41,93,11,No,15
PERF0000237,EMP00119,2025-H1,5,3.57,72,1,Yes,8
PERF0000238,EMP00119,2025-H2,3,2.8,92,35,Yes,12
PERF0000239,EMP00120,2025-H1,4,2.68,87,5,No,15
PERF0000240,EMP00120,2025-H2,2,3.26,74,7,No,0
PERF0000241,EMP00121,2025-H1,4,2.93,78,21,Yes,0
PERF0000242,EMP00121,2025-H2,2,4.84,79,28,Yes,10
PERF0000243,EMP00122,2025-H1,3,3.97,64,39,Yes,12
PERF0000244,EMP00122,2025-H2,4,4.06,98,39,No,8
PERF0000245,EMP00123,2025-H1,3,4.19,93,41,No,5
PERF0000246,EMP00123,2025-H2,5,4.25,71,7,No,15
PERF0000247,EMP00124,2025-H1,2,3.83,99,5,No,15
PERF0000248,EMP00124,2025-H2,2,3.5,87,11,No,8
PERF0000249,EMP00125,2025-H1,2,4.26,63,6,Yes,10
PERF0000250,EMP00125,2025-H2,3,4.27,86,14,No,15
PERF0000251,EMP00126,2025-H1,2,3.55,90,21,No,10
PERF0000252,EMP00126,2025-H2,2,3.74,93,47,No,10
PERF0000253,EMP00127,2025-H1,3,4.59,83,57,Yes,8
PERF0000254,EMP00127,2025-H2,4,2.6,77,7,Yes,8
PERF0000255,EMP00128,2025-H1,3,3.26,66,2,No,5
PERF0000256,EMP00128,2025-H2,4,3.68,61,5,Yes,15
PERF0000257,EMP00129,2025-H1,2,3.01,97,23,No,8
PERF0000258,EMP00129,2025-H2,2,3.04,73,2,Yes,12
PERF0000259,EMP00130,2025-H1,4,4.33,100,28,No,8
PERF0000260,EMP00130,2025-H2,4,4.16,79,39,Yes,15
PERF0000261,EMP00131,2025-H1,3,2.86,64,29,Yes,8
PERF0000262,EMP00131,2025-H2,4,4.49,74,4,Yes,10
PERF0000263,EMP00132,2025-H1,2,2.84,82,49,Yes,10
PERF0000264,EMP00132,2025-H2,3,4.79,91,44,Yes,15
PERF0000265,EMP00133,2025-H1,2,3.64,86,7,Yes,10
PERF0000266,EMP00133,2025-H2,4,4.56,85,25,Yes,8
PERF0000267,EMP00134,2025-H1,2,4.56,89,12,Yes,10
PERF0000268,EMP00134,2025-H2,3,4.25,87,16,Yes,0
PERF0000269,EMP00135,2025-H1,3,3.66,87,8,Yes,5
PERF0000270,EMP00135,2025-H2,2,4.68,77,25,Yes,5
PERF0000271,EMP00136,2025-H1,3,4.21,70,40,No,5
PERF0000272,EMP00136,2025-H2,2,3.94,96,37,No,8
PERF0000273,EMP00137,2025-H1,5,4.54,76,55,No,10
PERF0000274,EMP00137,2025-H2,4,2.67,62,23,No,0
PERF0000275,EMP00138,2025-H1,2,3.7,84,2,No,0
PERF0000276,EMP00138,2025-H2,5,2.73,74,22,No,12
PERF0000277,EMP00139,2025-H1,3,4.17,79,51,No,10
PERF0000278,EMP00139,2025-H2,2,3.61,80,4,Yes,15
PERF0000279,EMP00140,2025-H1,5,4.52,81,2,Yes,8
PERF0000280,EMP00140,2025-H2,3,3.27,71,56,No,0
PERF0000281,EMP00141,2025-H1,4,3.45,75,49,Yes,5
PERF0000282,EMP00141,2025-H2,3,4.18,75,14,No,5
PERF0000283,EMP00142,2025-H1,4,3.22,80,0,Yes,8
PERF0000284,EMP00142,2025-H2,2,3.69,99,32,No,0
PERF0000285,EMP00143,2025-H1,3,4.43,85,56,Yes,5
PERF0000286,EMP00143,2025-H2,3,4.78,94,18,No,10
PERF0000287,EMP00144,2025-H1,4,3.31,74,26,No,0
PERF0000288,EMP00144,2025-H2,2,4.96,75,44,Yes,15
PERF0000289,EMP00145,2025-H1,2,4.0,86,11,No,10
PERF0000290,EMP00145,2025-H2,5,2.52,93,34,Yes,5
PERF0000291,EMP00146,2025-H1,5,4.36,100,38,Yes,0
PERF0000292,EMP00146,2025-H2,4,2.84,79,35,Yes,5
PERF0000293,EMP00147,2025-H1,2,3.22,69,59,Yes,5
PERF0000294,EMP00147,2025-H2,3,4.58,78,24,No,15
PERF0000295,EMP00148,2025-H1,3,4.03,63,14,No,5
PERF0000296,EMP00148,2025-H2,2,3.77,89,21,No,5
PERF0000297,EMP00149,2025-H1,5,3.75,68,58,Yes,10
PERF0000298,EMP00149,2025-H2,3,4.19,60,29,No,5
PERF0000299,EMP00150,2025-H1,5,3.25,95,8,Yes,0
PERF0000300,EMP00150,2025-H2,5,3.27,92,12,No,12
PERF0000301,EMP00151,2025-H1,5,3.61,87,16,Yes,0
PERF0000302,EMP00151,2025-H2,4,4.33,68,54,No,15
PERF0000303,EMP00152,2025-H1,4,4.85,99,14,Yes,5
PERF0000304,EMP00152,2025-H2,4,4.28,92,10,No,10
PERF0000305,EMP00153,2025-H1,5,2.66,76,11,Yes,5
PERF0000306,EMP00153,2025-H2,3,4.14,70,59,No,0
PERF0000307,EMP00154,2025-H1,5,2.8,66,10,No,12
PERF0000308,EMP00154,2025-H2,3,2.63,73,47,Yes,0
PERF0000309,EMP00155,2025-H1,5,4.64,88,14,No,15
PERF0000310,EMP00155,2025-H2,4,4.52,83,6,No,12
PERF0000311,EMP00156,2025-H1,4,3.74,93,17,No,0
PERF0000312,EMP00156,2025-H2,2,4.29,84,53,No,12
PERF0000313,EMP00157,2025-H1,4,4.36,98,26,Yes,8
PERF0000314,EMP00157,2025-H2,3,3.56,62,12,No,5
PERF0000315,EMP00158,2025-H1,2,3.14,75,31,Yes,15
PERF0000316,EMP00158,2025-H2,5,4.5,70,4,No,10
PERF0000317,EMP00159,2025-H1,2,4.19,100,7,No,8
PERF0000318,EMP00159,2025-H2,5,3.22,83,17,Yes,10
PERF0000319,EMP00160,2025-H1,2,3.47,75,9,No,10
PERF0000320,EMP00160,2025-H2,2,3.76,88,48,Yes,0
PERF0000321,EMP00161,2025-H1,5,3.87,63,11,No,12
PERF0000322,EMP00161,2025-H2,4,3.19,83,60,Yes,15
PERF0000323,EMP00162,2025-H1,5,4.55,71,46,Yes,0
PERF0000324,EMP00162,2025-H2,4,3.59,69,39,No,15
PERF0000325,EMP00163,2025-H1,3,3.95,68,10,Yes,0
PERF0000326,EMP00163,2025-H2,5,4.27,84,41,No,8
PERF0000327,EMP00164,2025-H1,4,3.71,82,13,No,15
PERF0000328,EMP00164,2025-H2,4,3.34,60,43,No,10
PERF0000329,EMP00165,2025-H1,4,4.62,77,56,Yes,5
PERF0000330,EMP00165,2025-H2,3,4.06,88,43,Yes,0
PERF0000331,EMP00166,2025-H1,2,3.11,89,20,Yes,12
PERF0000332,EMP00166,2025-H2,2,3.46,81,23,Yes,10
PERF0000333,EMP00167,2025-H1,3,4.63,67,41,Yes,5
PERF0000334,EMP00167,2025-H2,3,2.83,78,57,Yes,10
PERF0000335,EMP00168,2025-H1,2,4.96,62,4,No,5
PERF0000336,EMP00168,2025-H2,3,3.25,77,20,Yes,0
PERF0000337,EMP00169,2025-H1,3,4.62,84,1,Yes,5
PERF0000338,EMP00169,2025-H2,4,4.07,71,28,No,5
PERF0000339,EMP00170,2025-H1,4,3.32,67,3,Yes,15
PERF0000340,EMP00170,2025-H2,3,2.58,86,19,No,5
PERF0000341,EMP00171,2025-H1,3,3.88,95,20,No,8
PERF0000342,EMP00171,2025-H2,4,2.64,75,9,Yes,12
PERF0000343,EMP00172,2025-H1,3,3.7,72,9,No,5
PERF0000344,EMP00172,2025-H2,2,4.32,82,1,No,10
PERF0000345,EMP00173,2025-H1,5,3.82,63,17,Yes,8
PERF0000346,EMP00173,2025-H2,4,3.94,90,31,Yes,15
PERF0000347,EMP00174,2025-H1,5,4.52,88,31,Yes,15
PERF0000348,EMP00174,2025-H2,5,3.27,74,5,Yes,8
PERF0000349,EMP00175,2025-H1,3,3.83,67,56,No,12
PERF0000350,EMP00175,2025-H2,5,4.4,73,11,No,15
PERF0000351,EMP00176,2025-H1,3,4.64,88,56,Yes,0
PERF0000352,EMP00176,2025-H2,2,3.23,76,7,Yes,5
PERF0000353,EMP00177,2025-H1,4,3.6,88,22,No,0
PERF0000354,EMP00177,2025-H2,3,3.86,86,36,Yes,5
PERF0000355,EMP00178,2025-H1,3,2.72,72,53,Yes,5
PERF0000356,EMP00178,2025-H2,2,3.84,78,1,Yes,10
PERF0000357,EMP00179,2025-H1,3,3.76,68,45,Yes,8
PERF0000358,EMP00179,2025-H2,5,2.56,85,6,No,8
PERF0000359,EMP00180,2025-H1,3,4.57,66,30,Yes,15
PERF0000360,EMP00180,2025-H2,4,3.26,72,39,Yes,5
PERF0000361,EMP00181,2025-H1,3,2.62,65,0,Yes,0
PERF0000362,EMP00181,2025-H2,2,2.53,89,39,Yes,12
PERF0000363,EMP00182,2025-H1,2,4.33,90,36,Yes,15
PERF0000364,EMP00182,2025-H2,4,4.44,70,42,No,5
PERF0000365,EMP00183,2025-H1,5,4.26,93,49,Yes,5
PERF0000366,EMP00183,2025-H2,4,4.32,76,40,No,0
PERF0000367,EMP00184,2025-H1,5,2.99,89,15,No,8
PERF0000368,EMP00184,2025-H2,4,4.47,70,14,No,15
PERF0000369,EMP00185,2025-H1,3,3.41,90,45,No,8
PERF0000370,EMP00185,2025-H2,3,4.61,64,16,Yes,8
PERF0000371,EMP00186,2025-H1,2,4.93,93,37,No,5
PERF0000372,EMP00186,2025-H2,5,4.88,87,1,No,12
PERF0000373,EMP00187,2025-H1,2,3.28,62,26,Yes,8
PERF0000374,EMP00187,2025-H2,2,3.16,94,41,No,12
PERF0000375,EMP00188,2025-H1,4,3.82,69,9,Yes,10
PERF0000376,EMP00188,2025-H2,4,2.97,61,40,No,12
PERF0000377,EMP00189,2025-H1,2,2.55,71,9,No,10
PERF0000378,EMP00189,2025-H2,5,3.49,68,50,Yes,12
PERF0000379,EMP00190,2025-H1,4,4.86,94,55,No,15
PERF0000380,EMP00190,2025-H2,4,3.71,99,39,Yes,12
PERF0000381,EMP00191,2025-H1,5,3.98,99,30,Yes,5
PERF0000382,EMP00191,2025-H2,2,3.64,100,33,No,12
PERF0000383,EMP00192,2025-H1,4,4.5,95,45,No,12
PERF0000384,EMP00192,2025-H2,2,3.33,80,38,No,12
PERF0000385,EMP00193,2025-H1,3,4.33,80,18,Yes,15
PERF0000386,EMP00193,2025-H2,4,3.32,63,15,Yes,0
PERF0000387,EMP00194,2025-H1,4,4.17,83,35,Yes,12
PERF0000388,EMP00194,2025-H2,3,3.66,80,18,Yes,12
PERF0000389,EMP00195,2025-H1,5,4.38,95,18,Yes,5
PERF0000390,EMP00195,2025-H2,4,4.05,92,31,No,5
PERF0000391,EMP00196,2025-H1,4,4.26,86,49,Yes,5
PERF0000392,EMP00196,2025-H2,2,2.59,89,45,No,0
PERF0000393,EMP00197,2025-H1,5,4.57,89,29,No,5
PERF0000394,EMP00197,2025-H2,3,3.16,71,53,No,5
PERF0000395,EMP00198,2025-H1,5,3.07,81,12,No,12
PERF0000396,EMP00198,2025-H2,4,2.75,97,28,No,12
PERF0000397,EMP00199,2025-H1,2,2.84,69,29,No,12
PERF0000398,EMP00199,2025-H2,4,3.7,85,37,Yes,15
PERF0000399,EMP00200,2025-H1,3,3.97,82,10,No,15
PERF0000400,EMP00200,2025-H2,3,2.62,88,35,No,15
PERF0000401,EMP00201,2025-H1,4,3.25,67,42,Yes,15
PERF0000402,EMP00201,2025-H2,5,4.91,81,36,No,0
PERF0000403,EMP00202,2025-H1,2,2.87,99,2,No,15
PERF0000404,EMP00202,2025-H2,5,3.39,77,8,Yes,0
PERF0000405,EMP00203,2025-H1,4,3.28,61,25,Yes,10
PERF0000406,EMP00203,2025-H2,4,2.93,63,46,Yes,8
PERF0000407,EMP00204,2025-H1,2,2.52,98,10,No,0
PERF0000408,EMP00204,2025-H2,5,4.93,85,46,No,10
