attrition_id,employee_id,department,tenure_years,performance_status,attrition_risk,risk_score,exit_status
ATTR0000180,EMP00180,Sales,11,Poor,Medium,63,Active
ATTR0000181,EMP00181,Finance,5,Excellent,Low,34,Resigned
ATTR0000182,EMP00182,Finance,8,Poor,Low,26,Active
ATTR0000183,EMP00183,Sales,4,Excellent,Medium,60,Active
ATTR0000184,EMP00184,Operations,1,Poor,Medium,74,Active
ATTR0000185,EMP00185,IT,4,Excellent,Low,36,Active
ATTR0000186,EMP00186,Marketing,9,Excellent,Low,44,Resigned
ATTR0000187,EMP00187,Sales,3,Poor,Low,29,Active
ATTR0000188,EMP00188,Finance,8,Poor,Medium,51,Active
ATTR0000189,EMP00189,HR,1,Poor,High,98,Active
ATTR0000190,EMP00190,HR,2,Poor,High,85,Active
ATTR0000191,EMP00191,Operations,10,Good,Low,32,Resigned
ATTR0000192,EMP00192,Sales,11,Average,Low,44,Active
ATTR0000193,EMP00193,IT,6,Excellent,Low,39,Active
ATTR0000194,EMP00194,HR,1,Average,High,99,Active
ATTR0000195,EMP00195,Sales,7,Poor,Medium,74,Active
ATTR0000196,EMP00196,IT,6,Excellent,High,90,Active
ATTR0000197,EMP00197,IT,11,Poor,Medium,57,Active
ATTR0000198,EMP00198,HR,8,Good,High,99,Active
ATTR0000199,EMP00199,Sales,10,Average,High,97,Active
ATTR0000200,EMP00200,Finance,9,Poor,Medium,59,Active
ATTR0000201,EMP00201,Sales,9,Poor,Medium,69,Resigned
ATTR0000202,EMP00202,Finance,3,Average,High,94,Active
ATTR0000203,EMP00203,Marketing,10,Average,Low,46,Active
ATTR0000204,EMP00204,HR,7,Good,Low,38,Active
ATTR0000205,EMP00205,IT,2,Excellent,High,89,Active
ATTR0000206,EMP00206,Sales,0,Poor,Low,34,Active
ATTR0000207,EMP00207,HR,8,Excellent,High,75,Active
ATTR0000208,EMP00208,Marketing,10,Average,High,76,Active
ATTR0000209,EMP00209,Sales,2,Poor,Medium,50,Active
ATTR0000210,EMP00210,Sales,4,Good,High,93,Active
ATTR0000211,EMP00211,HR,2,Average,High,90,Resigned
ATTR0000212,EMP00212,IT,11,Average,High,87,Active
ATTR0000213,EMP00213,Sales,11,Poor,Low,23,Active
ATTR0000214,EMP00214,Finance,6,Good,High,99,Active
ATTR0000215,EMP00215,Finance,2,Excellent,Low,35,Active
ATTR0000216,EMP00216,Sales,8,Poor,Low,44,Active
ATTR0000217,EMP00217,Operations,11,Poor,High,81,Active
ATTR0000218,EMP00218,Finance,10,Good,Low,43,Active
ATTR0000219,EMP00219,Operations,9,Average,Medium,74,Active
ATTR0000220,EMP00220,Marketing,10,Good,Low,35,Active
ATTR0000221,EMP00221,Sales,9,Excellent,High,95,Active
ATTR0000222,EMP00222,Operations,5,Excellent,Low,47,Active
ATTR0000223,EMP00223,Finance,11,Excellent,High,85,Active
ATTR0000224,EMP00224,IT,2,Average,Low,48,Active
ATTR0000225,EMP00225,IT,1,Excellent,Medium,55,Active
ATTR0000226,EMP00226,IT,9,Poor,Medium,67,Active
ATTR0000227,EMP00227,Sales,0,Average,Medium,55,Active
ATTR0000228,EMP00228,Marketing,10,Good,Low,47,Active
ATTR0000229,EMP00229,Finance,1,Poor,High,87,Active
ATTR0000230,EMP00230,Sales,0,Poor,Low,37,Active
ATTR0000231,EMP00231,Operations,10,Good,High,84,Resigned
ATTR0000232,EMP00232,HR,8,Excellent,High,85,Active
ATTR0000233,EMP00233,HR,3,Average,High,99,Active
ATTR0000234,EMP00234,Operations,11,Average,Medium,73,Active
ATTR0000235,EMP00235,Finance,8,Good,Medium,51,Active
ATTR0000236,EMP00236,HR,3,Good,Low,48,Active
ATTR0000237,EMP00237,Sales,0,Excellent,High,88,Active
ATTR0000238,EMP00238,Marketing,5,Good,Medium,58,Active
ATTR0000239,EMP00239,IT,4,Average,Medium,58,Active
ATTR0000240,EMP00240,IT,6,Poor,Low,41,Active
ATTR0000241,EMP00241,Sales,3,Poor,Medium,63,Active
ATTR0000242,EMP00242,Marketing,9,Poor,Medium,67,Active
ATTR0000243,EMP00243,Sales,10,Excellent,Medium,57,Active
ATTR0000244,EMP00244,Finance,0,Average,High,85,Active
ATTR0000245,EMP00245,IT,1,Average,Low,42,Active
ATTR0000246,EMP00246,Marketing,5,Average,Medium,50,Resigned
ATTR0000247,EMP00247,Sales,11,Average,Low,33,Active
ATTR0000248,EMP00248,Finance,8,Poor,Low,43,Resigned
ATTR0000249,EMP00249,Finance,1,Excellent,Medium,56,Active
ATTR0000250,EMP00250,HR,4,Excellent,Low,33,Active
ATTR0000251,EMP00251,Operations,2,Average,Medium,59,Active
ATTR0000252,EMP00252,IT,6,Excellent,Medium,65,Active
ATTR0000253,EMP00253,Sales,2,Good,Medium,60,Resigned
ATTR0000254,EMP00254,Operations,2,Good,High,82,Active
ATTR0000255,EMP00255,Finance,6,Good,High,78,Resigned
ATTR0000256,EMP00256,Operations,2,Good,Low,23,Active
ATTR0000257,EMP00257,Finance,8,Good,Medium,53,Active
ATTR0000258,EMP00258,IT,11,Poor,Low,45,Active
ATTR0000259,EMP00259,Operations,1,Good,Low,46,Resigned
ATTR0000260,EMP00260,Sales,3,Good,Low,48,Active
ATTR0000261,EMP00261,Marketing,11,Excellent,Low,42,Active
ATTR0000262,EMP00262,HR,6,Good,High,95,Active
ATTR0000263,EMP00263,Marketing,1,Average,Medium,68,Resigned
ATTR0000264,EMP00264,Sales,2,Excellent,High,99,Active
ATTR0000265,EMP00265,Sales,2,Good,High,84,Resigned
ATTR0000266,EMP00266,HR,0,Average,Low,24,Active
ATTR0000267,EMP00267,IT,6,Average,High,93,Active
ATTR0000268,EMP00268,Marketing,10,Excellent,Low,21,Active
ATTR0000269,EMP00269,Sales,3,Poor,Low,33,Active
ATTR0000270,EMP00270,Operations,9,Poor,Low,32,Active
ATTR0000271,EMP00271,Finance,10,Average,Low,23,Active
ATTR0000272,EMP00272,Operations,8,Average,Low,42,Active
ATTR0000273,EMP00273,Sales,6,Good,High,97,Active
ATTR0000274,EMP00274,Finance,11,Excellent,High,92,Active
ATTR0000275,EMP00275,Sales,11,Poor,High,93,Resigned
ATTR0000276,EMP00276,Operations,5,Excellent,High,75,Active
ATTR0000277,EMP00277,Finance,10,Poor,Medium,52,Active
ATTR0000278,EMP00278,IT,6,Good,Low,26,Active
ATTR0000279,EMP00279,Sales,9,Excellent,Low,32,Active
ATTR0000280,EMP00280,Finance,4,Poor,Low,20,Active
ATTR0000281,EMP00281,IT,8,Excellent,Medium,66,Resigned
ATTR0000282,EMP00282,HR,2,Average,Medium,53,Active
ATTR0000283,EMP00283,Marketing,7,Excellent,High,77,Active
ATTR0000284,EMP00284,Marketing,5,Excellent,High,98,Active
ATTR0000285,EMP00285,Sales,4,Poor,Medium,69,Active
ATTR0000286,EMP00286,Finance,6,Poor,Low,26,Active
ATTR0000287,EMP00287,Finance,2,Good,Low,46,Active
ATTR0000288,EMP00288,Marketing,10,Excellent,High,75,Active
ATTR0000289,EMP00289,HR,10,Average,High,98,Active
ATTR0000290,EMP00290,HR,11,Good,Low,20,Active
ATTR0000291,EMP00291,Operations,2,Good,Low,22,Active
ATTR0000292,EMP00292,Sales,4,Excellent,Medium,54,Active
ATTR0000293,EMP00293,Operations,0,Good,Low,40,Active
ATTR0000294,EMP00294,IT,10,Poor,Low,39,Active
ATTR0000295,EMP00295,Finance,7,Average,Low,20,Active
ATTR0000296,EMP00296,Finance,6,Excellent,Low,44,Active
ATTR0000297,EMP00297,Operations,5,Excellent,High,91,Active
ATTR0000298,EMP00298,Marketing,2,Average,High,84,Active
ATTR0000299,EMP00299,IT,2,Good,Medium,74,Resigned
ATTR0000300,EMP00300,Sales,8,Average,Low,26,Active
ATTR0000301,EMP00301,Sales,10,Good,Low,40,Active
ATTR0000302,EMP00302,HR,3,Excellent,Low,22,Active
ATTR0000303,EMP00303,Operations,9,Average,Medium,54,Active
ATTR0000304,EMP00304,IT,10,Good,Medium,74,Active
ATTR0000305,EMP00305,Operations,1,Good,Medium,58,Active
ATTR0000306,EMP00306,IT,3,Poor,Low,26,Active
ATTR0000307,EMP00307,Operations,10,Good,High,94,Active
ATTR0000308,EMP00308,Operations,3,Good,Medium,63,Active
ATTR0000309,EMP00309,Marketing,3,Average,Low,22,Active
ATTR0000310,EMP00310,Sales,3,Poor,Medium,71,Active
ATTR0000311,EMP00311,Marketing,2,Poor,Low,21,Active
ATTR0000312,EMP00312,IT,6,Poor,Low,38,Resigned
ATTR0000313,EMP00313,HR,2,Poor,High,89,Active
ATTR0000314,EMP00314,Sales,0,Good,Low,45,Resigned
ATTR0000315,EMP00315,Marketing,6,Good,Medium,62,Active
ATTR0000316,EMP00316,Sales,1,Average,High,93,Active
ATTR0000317,EMP00317,Operations,4,Average,Low,46,Active
ATTR0000318,EMP00318,Sales,2,Excellent,Low,35,Active
ATTR0000319,EMP00319,Sales,4,Excellent,High,88,Active
ATTR0000320,EMP00320,IT,4,Good,High,81,Active
ATTR0000321,EMP00321,IT,7,Average,High,94,Active
ATTR0000322,EMP00322,Finance,7,Average,High,83,Active
ATTR0000323,EMP00323,Marketing,8,Excellent,Low,38,Active
ATTR0000324,EMP00324,Operations,2,Good,Low,47,Active
ATTR0000325,EMP00325,Sales,5,Poor,Medium,52,Active
ATTR0000326,EMP00326,Marketing,0,Good,Medium,53,Active
ATTR0000327,EMP00327,Marketing,3,Good,High,93,Resigned
ATTR0000328,EMP00328,HR,4,Good,Medium,57,Active
ATTR0000329,EMP00329,IT,6,Poor,High,87,Active
ATTR0000330,EMP00330,Finance,3,Excellent,Low,37,Active
ATTR0000331,EMP00331,Marketing,4,Good,Low,30,Resigned
ATTR0000332,EMP00332,IT,10,Average,Medium,73,Active
ATTR0000333,EMP00333,HR,6,Poor,Medium,74,Active
ATTR0000334,EMP00334,Marketing,9,Excellent,Low,42,Active
ATTR0000335,EMP00335,Marketing,2,Average,High,94,Active
ATTR0000336,EMP00336,HR,7,Excellent,Low,38,Active
ATTR0000337,EMP00337,Operations,8,Good,High,81,Active
ATTR0000338,EMP00338,Marketing,1,Good,Medium,64,Active
ATTR0000339,EMP00339,Marketing,9,Good,High,78,Active
ATTR0000340,EMP00340,IT,2,Good,Medium,64,Active
ATTR0000341,EMP00341,Marketing,10,Poor,Medium,53,Active
ATTR0000342,EMP00342,Operations,11,Excellent,Low,36,Active
ATTR0000343,EMP00343,Finance,10,Poor,Medium,54,Active
ATTR0000344,EMP00344,Finance,9,Good,Medium,58,Active
ATTR0000345,EMP00345,IT,5,Good,Low,32,Active
ATTR0000346,EMP00346,Finance,2,Average,High,94,Active
ATTR0000347,EMP00347,HR,10,Poor,Low,27,Active
ATTR0000348,EMP00348,Sales,8,Poor,Medium,73,Resigned
ATTR0000349,EMP00349,HR,8,Average,High,86,Active
ATTR0000350,EMP00350,IT,5,Excellent,Medium,65,Resigned
ATTR0000351,EMP00351,Marketing,5,Poor,Medium,63,Active
ATTR0000352,EMP00352,Operations,4,Good,High,96,Active
ATTR0000353,EMP00353,HR,5,Good,High,79,Active
ATTR0000354,EMP00354,Finance,10,Average,Medium,57,Resigned
ATTR0000355,EMP00355,IT,7,Good,Low,35,Active
ATTR0000356,EMP00356,Sales,8,Good,High,85,Active
ATTR0000357,EMP00357,Operations,5,Good,High,85,Active
ATTR0000358,EMP00358,Sales,10,Poor,High,79,Active
ATTR0000359,EMP00359,HR,4,Poor,Low,32,Active
ATTR0000360,EMP00360,Marketing,0,Excellent,Medium,56,Active
ATTR0000361,EMP00361,HR,6,Poor,Low,36,Active
ATTR0000362,EMP00362,Marketing,4,Good,High,84,Active
ATTR0000363,EMP00363,Marketing,6,Good,Medium,51,Resigned
ATTR0000364,EMP00364,Finance,6,Average,Medium,65,Active
ATTR0000365,EMP00365,IT,8,Excellent,Low,39,Active
ATTR0000366,EMP00366,Sales,11,Poor,High,88,Active
ATTR0000367,EMP00367,Marketing,2,Average,Medium,60,Active
ATTR0000368,EMP00368,Marketing,8,Poor,Medium,67,Active
ATTR0000369,EMP00369,Marketing,7,Average,High,85,Resigned
ATTR0000370,EMP00370,Finance,10,Excellent,High,82,Resigned
ATTR0000371,EMP00371,Sales,6,Excellent,High,86,Active
ATTR0000372,EMP00372,IT,4,Average,Low,46,Active
ATTR0000373,EMP00373,Finance,5,Excellent,High,86,Active
ATTR0000374,EMP00374,Finance,11,Poor,High,90,Resigned
ATTR0000375,EMP00375,Marketing,2,Average,High,94,Resigned
ATTR0000376,EMP00376,Finance,10,Excellent,Low,20,Active
ATTR0000377,EMP00377,Finance,2,Excellent,High,98,Active
ATTR0000378,EMP00378,HR,8,Good,Low,21,Active
ATTR0000379,EMP00379,Finance,4,Average,Low,45,Active
ATTR0000380,EMP00380,Sales,8,Poor,Medium,71,Active
ATTR0000381,EMP00381,Marketing,1,Poor,Medium,67,Active
ATTR0000382,EMP00382,HR,4,Excellent,Medium,64,Active
ATTR0000383,EMP00383,Sales,9,Excellent,Low,20,Active
ATTR0000384,EMP00384,HR,3,Good,Medium,67,Active
ATTR0000385,EMP00385,Sales,6,Excellent,Medium,60,Active
ATTR0000386,EMP00386,Finance,9,Average,High,80,Active
ATTR0000387,EMP00387,Operations,7,Poor,Low,24,Active
ATTR0000388,EMP00388,Sales,3,Excellent,Low,35,Active
ATTR0000389,EMP00389,IT,1,Average,High,92,Active
ATTR0000390,EMP00390,Sales,1,Excellent,Low,22,Active
ATTR0000391,EMP00391,Operations,3,Average,High,91,Active
ATTR0000392,EMP00392,IT,3,Poor,High,81,Active
ATTR0000393,EMP00393,HR,10,Good,Medium,52,Resigned
ATTR0000394,EMP00394,HR,6,Average,Low,28,Resigned
ATTR0000395,EMP00395,IT,9,Excellent,Low,25,Active
ATTR0000396,EMP00396,Sales,8,Excellent,Medium,60,Active
ATTR0000397,EMP00397,HR,7,Good,High,97,Active
ATTR0000398,EMP00398,HR,4,Poor,Medium,61,Active
ATTR0000399,EMP00399,Finance,10,Good,High,78,Active
ATTR0000400,EMP00400,IT,0,Average,Low,26,Active
ATTR0000401,EMP00401,Finance,6,Average,Medium,71,Active
ATTR0000402,EMP00402,Sales,5,Excellent,Medium,64,Active
ATTR0000403,EMP00403,Operations,6,Good,Low,31,Active
ATTR0000404,EMP00404,Marketing,1,Good,Low,26,Resigned
ATTR0000405,EMP00405,Operations,8,Average,Medium,51,Resigned
ATTR0000406,EMP00406,HR,4,Good,High,92,Active
ATTR0000407,EMP00407,IT,5,Good,High,77,Active
ATTR0000408,EMP00408,Finance,10,Excellent,Low,33,Active
ATTR0000409,EMP00409,Sales,3,Good,High,91,Active
ATTR0000410,EMP00410,Sales,7,Average,High,86,Active
ATTR0000411,EMP00411,Marketing,0,Average,High,89,Active
ATTR0000412,EMP00412,Marketing,10,Average,High,83,Active
ATTR0000413,EMP00413,Sales,4,Good,Low,40,Active
ATTR0000414,EMP00414,HR,1,Excellent,Low,33,Active
ATTR0000415,EMP00415,Finance,4,Excellent,High,79,Active
ATTR0000416,EMP00416,Marketing,9,Poor,High,83,Active
ATTR0000417,EMP00417,HR,9,Poor,Medium,71,Resigned
ATTR0000418,EMP00418,Sales,7,Good,High,75,Active
ATTR0000419,EMP00419,Sales,0,Average,Medium,53,Resigned
ATTR0000420,EMP00420,HR,8,Excellent,Medium,61,Active
ATTR0000421,EMP00421,Finance,10,Average,Medium,55,Active
ATTR0000422,EMP00422,HR,6,Good,High,100,Active
ATTR0000423,EMP00423,Sales,1,Good,High,85,Active
ATTR0000424,EMP00424,Marketing,5,Average,High,87,Active
ATTR0000425,EMP00425,Finance,6,Average,Low,26,Active
ATTR0000426,EMP00426,Operations,6,Excellent,Medium,74,Active
ATTR0000427,EMP00427,Finance,6,Excellent,Low,36,Active
ATTR0000428,EMP00428,IT,4,Average,Low,41,Active
ATTR0000429,EMP00429,Operations,3,Poor,High,76,Active
ATTR0000430,EMP00430,Sales,6,Average,Low,49,Active
ATTR0000431,EMP00431,Operations,3,Excellent,Medium,56,Active
ATTR0000432,EMP00432,Operations,6,Poor,Medium,67,Resigned
ATTR0000433,EMP00433,Sales,0,Good,High,99,Active
ATTR0000434,EMP00434,Marketing,8,Good,Low,35,Active
ATTR0000435,EMP00435,Marketing,0,Poor,High,87,Active
ATTR0000436,EMP00436,IT,10,Good,High,84,Active
